TF	target
AC233950.1_FG002	AC209845.4_FG010
AC233950.1_FG002	AC210003.2_FG004
AC233950.1_FG002	AC210163.3_FG005
AC233950.1_FG002	AC210189.3_FG003
AC233950.1_FG002	AC210193.4_FG002
AC233950.1_FG002	AC210669.3_FG001
AC233950.1_FG002	AC211152.4_FG007
AC233950.1_FG002	AC211474.3_FG006
AC233950.1_FG002	AC212209.2_FG010
AC233950.1_FG002	AC212244.4_FG004
AC233950.1_FG002	AC212353.4_FG004
AC233950.1_FG002	AC212720.3_FG006
AC233950.1_FG002	AC213621.5_FG002
AC233950.1_FG002	AC213621.5_FG004
AC233950.1_FG002	AC213629.3_FG005
AC233950.1_FG002	AC213631.2_FG010
AC233950.1_FG002	AC213654.3_FG003
AC233950.1_FG002	AC213654.3_FG004
AC233950.1_FG002	AC213772.2_FG001
AC233950.1_FG002	AC213884.3_FG002
AC233950.1_FG002	AC214448.3_FG007
AC233950.1_FG002	AC214451.3_FG005
AC233950.1_FG002	AC215240.3_FG003
AC233950.1_FG002	AC216871.3_FG004
AC233950.1_FG002	AC216891.3_FG004
AC233950.1_FG002	AC217295.3_FG005
AC233950.1_FG002	AC217947.4_FG002
AC233950.1_FG002	AC218457.2_FG013
AC233950.1_FG002	AC220927.3_FG007
AC233950.1_FG002	AC225147.4_FG002
AC233950.1_FG002	AC225147.4_FG003
AC233950.1_FG002	AC225205.3_FG003
AC233950.1_FG002	AC225718.2_FG006
AC233950.1_FG002	AC226373.2_FG009
AC233950.1_FG002	AC231409.1_FG001
AC233950.1_FG002	AC233850.1_FG005
AC233950.1_FG002	AC233851.1_FG009
AC233950.1_FG002	AC233851.1_FG010
AC233950.1_FG002	AC233851.1_FG011
AC233950.1_FG002	AC233853.1_FG002
AC233950.1_FG002	AC233853.1_FG003
AC233950.1_FG002	AC233879.1_FG002
AC233950.1_FG002	AC233887.1_FG006
AC233950.1_FG002	AC233893.1_FG003
AC233950.1_FG002	AC233898.1_FG004
AC233950.1_FG002	AC233899.1_FG002
AC233950.1_FG002	AC233901.1_FG004
AC233950.1_FG002	AC233901.1_FG005
AC233950.1_FG002	AC233939.1_FG004
AC233950.1_FG002	AC233959.1_FG006
AC233950.1_FG002	AC233979.1_FG007
AC233950.1_FG002	AC233979.1_FG008
AC233950.1_FG002	AC234157.1_FG002
AC233950.1_FG002	AC234164.1_FG003
AC233950.1_FG002	AC234164.1_FG004
AC233950.1_FG002	AC234185.1_FG004
AC233950.1_FG002	AC234185.1_FG007
AC233950.1_FG002	AC234203.1_FG009
AC233950.1_FG002	AC234203.1_FG010
AC233950.1_FG002	AC234203.1_FG011
AC233950.1_FG002	AC234519.1_FG004
AC233950.1_FG002	AC234519.1_FG005
AC233950.1_FG002	AC234526.1_FG005
AC233950.1_FG002	AC234575.1_FG003
AC233950.1_FG002	AC235547.1_FG005
AC233950.1_FG002	GRMZM2G000093
AC233950.1_FG002	GRMZM2G000199
AC233950.1_FG002	GRMZM2G000271
AC233950.1_FG002	GRMZM2G000332
AC233950.1_FG002	GRMZM2G000339
AC233950.1_FG002	GRMZM2G000361
AC233950.1_FG002	GRMZM2G000451
AC233950.1_FG002	GRMZM2G000453
AC233950.1_FG002	GRMZM2G000739
AC233950.1_FG002	GRMZM2G000741
AC233950.1_FG002	GRMZM2G001116
AC233950.1_FG002	GRMZM2G001160
AC233950.1_FG002	GRMZM2G001169
AC233950.1_FG002	GRMZM2G001200
AC233950.1_FG002	GRMZM2G001288
AC233950.1_FG002	GRMZM2G001577
AC233950.1_FG002	GRMZM2G001592
AC233950.1_FG002	GRMZM2G001660
AC233950.1_FG002	GRMZM2G001799
AC233950.1_FG002	GRMZM2G001820
AC233950.1_FG002	GRMZM2G001824
AC233950.1_FG002	GRMZM2G001898
AC233950.1_FG002	GRMZM2G001915
AC233950.1_FG002	GRMZM2G001938
AC233950.1_FG002	GRMZM2G001953
AC233950.1_FG002	GRMZM2G001956
AC233950.1_FG002	GRMZM2G002142
AC233950.1_FG002	GRMZM2G002178
AC233950.1_FG002	GRMZM2G002430
AC233950.1_FG002	GRMZM2G002756
AC233950.1_FG002	GRMZM2G002898
AC233950.1_FG002	GRMZM2G002948
AC233950.1_FG002	GRMZM2G002993
AC233950.1_FG002	GRMZM2G003406
AC233950.1_FG002	GRMZM2G003424
AC233950.1_FG002	GRMZM2G003466
AC233950.1_FG002	GRMZM2G003501
AC233950.1_FG002	GRMZM2G003506
AC233950.1_FG002	GRMZM2G003538
AC233950.1_FG002	GRMZM2G003631
AC233950.1_FG002	GRMZM2G003752
AC233950.1_FG002	GRMZM2G003775
AC233950.1_FG002	GRMZM2G003927
AC233950.1_FG002	GRMZM2G004161
AC233950.1_FG002	GRMZM2G004183
AC233950.1_FG002	GRMZM2G004207
AC233950.1_FG002	GRMZM2G004290
AC233950.1_FG002	GRMZM2G004305
AC233950.1_FG002	GRMZM2G004320
AC233950.1_FG002	GRMZM2G004349
AC233950.1_FG002	GRMZM2G004377
AC233950.1_FG002	GRMZM2G004466
AC233950.1_FG002	GRMZM2G004511
AC233950.1_FG002	GRMZM2G004528
AC233950.1_FG002	GRMZM2G004548
AC233950.1_FG002	GRMZM2G004592
AC233950.1_FG002	GRMZM2G004795
AC233950.1_FG002	GRMZM2G004888
AC233950.1_FG002	GRMZM2G004957
AC233950.1_FG002	GRMZM2G004990
AC233950.1_FG002	GRMZM2G004997
AC233950.1_FG002	GRMZM2G005024
AC233950.1_FG002	GRMZM2G005028
AC233950.1_FG002	GRMZM2G005082
AC233950.1_FG002	GRMZM2G005126
AC233950.1_FG002	GRMZM2G005146
AC233950.1_FG002	GRMZM2G005170
AC233950.1_FG002	GRMZM2G005236
AC233950.1_FG002	GRMZM2G005374
AC233950.1_FG002	GRMZM2G005384
AC233950.1_FG002	GRMZM2G005619
AC233950.1_FG002	GRMZM2G005624
AC233950.1_FG002	GRMZM2G005633
AC233950.1_FG002	GRMZM2G005840
AC233950.1_FG002	GRMZM2G005844
AC233950.1_FG002	GRMZM2G005939
AC233950.1_FG002	GRMZM2G005954
AC233950.1_FG002	GRMZM2G005980
AC233950.1_FG002	GRMZM2G006042
AC233950.1_FG002	GRMZM2G006069
AC233950.1_FG002	GRMZM2G006107
AC233950.1_FG002	GRMZM2G006197
AC233950.1_FG002	GRMZM2G006234
AC233950.1_FG002	GRMZM2G006297
AC233950.1_FG002	GRMZM2G006352
AC233950.1_FG002	GRMZM2G006363
AC233950.1_FG002	GRMZM2G006370
AC233950.1_FG002	GRMZM2G006463
AC233950.1_FG002	GRMZM2G006480
AC233950.1_FG002	GRMZM2G006505
AC233950.1_FG002	GRMZM2G006601
AC233950.1_FG002	GRMZM2G006626
AC233950.1_FG002	GRMZM2G006631
AC233950.1_FG002	GRMZM2G006676
AC233950.1_FG002	GRMZM2G006721
AC233950.1_FG002	GRMZM2G006841
AC233950.1_FG002	GRMZM2G006952
AC233950.1_FG002	GRMZM2G006964
AC233950.1_FG002	GRMZM2G007195
AC233950.1_FG002	GRMZM2G007249
AC233950.1_FG002	GRMZM2G007384
AC233950.1_FG002	GRMZM2G007404
AC233950.1_FG002	GRMZM2G007647
AC233950.1_FG002	GRMZM2G007651
AC233950.1_FG002	GRMZM2G007659
AC233950.1_FG002	GRMZM2G007801
AC233950.1_FG002	GRMZM2G007835
AC233950.1_FG002	GRMZM2G007939
AC233950.1_FG002	GRMZM2G008029
AC233950.1_FG002	GRMZM2G008072
AC233950.1_FG002	GRMZM2G008242
AC233950.1_FG002	GRMZM2G008263
AC233950.1_FG002	GRMZM2G008273
AC233950.1_FG002	GRMZM2G008305
AC233950.1_FG002	GRMZM2G008309
AC233950.1_FG002	GRMZM2G008326
AC233950.1_FG002	GRMZM2G008356
AC233950.1_FG002	GRMZM2G008374
AC233950.1_FG002	GRMZM2G008482
AC233950.1_FG002	GRMZM2G008513
AC233950.1_FG002	GRMZM2G008691
AC233950.1_FG002	GRMZM2G008710
AC233950.1_FG002	GRMZM2G008773
AC233950.1_FG002	GRMZM2G008919
AC233950.1_FG002	GRMZM2G009030
AC233950.1_FG002	GRMZM2G009136
AC233950.1_FG002	GRMZM2G009320
AC233950.1_FG002	GRMZM2G009406
AC233950.1_FG002	GRMZM2G009478
AC233950.1_FG002	GRMZM2G009538
AC233950.1_FG002	GRMZM2G009624
AC233950.1_FG002	GRMZM2G009655
AC233950.1_FG002	GRMZM2G009732
AC233950.1_FG002	GRMZM2G009735
AC233950.1_FG002	GRMZM2G009794
AC233950.1_FG002	GRMZM2G009806
AC233950.1_FG002	GRMZM2G009948
AC233950.1_FG002	GRMZM2G009995
AC233950.1_FG002	GRMZM2G010146
AC233950.1_FG002	GRMZM2G010362
AC233950.1_FG002	GRMZM2G010474
AC233950.1_FG002	GRMZM2G010494
AC233950.1_FG002	GRMZM2G010545
AC233950.1_FG002	GRMZM2G010604
AC233950.1_FG002	GRMZM2G010640
AC233950.1_FG002	GRMZM2G010649
AC233950.1_FG002	GRMZM2G010673
AC233950.1_FG002	GRMZM2G010693
AC233950.1_FG002	GRMZM2G010702
AC233950.1_FG002	GRMZM2G010714
AC233950.1_FG002	GRMZM2G010937
AC233950.1_FG002	GRMZM2G010973
AC233950.1_FG002	GRMZM2G011006
AC233950.1_FG002	GRMZM2G011010
AC233950.1_FG002	GRMZM2G011015
AC233950.1_FG002	GRMZM2G011136
AC233950.1_FG002	GRMZM2G011173
AC233950.1_FG002	GRMZM2G011269
AC233950.1_FG002	GRMZM2G011281
AC233950.1_FG002	GRMZM2G011355
AC233950.1_FG002	GRMZM2G011559
AC233950.1_FG002	GRMZM2G011598
AC233950.1_FG002	GRMZM2G011662
AC233950.1_FG002	GRMZM2G011742
AC233950.1_FG002	GRMZM2G011800
AC233950.1_FG002	GRMZM2G011806
AC233950.1_FG002	GRMZM2G011858
AC233950.1_FG002	GRMZM2G011932
AC233950.1_FG002	GRMZM2G012224
AC233950.1_FG002	GRMZM2G012891
AC233950.1_FG002	GRMZM2G012970
AC233950.1_FG002	GRMZM2G013114
AC233950.1_FG002	GRMZM2G013220
AC233950.1_FG002	GRMZM2G013236
AC233950.1_FG002	GRMZM2G013324
AC233950.1_FG002	GRMZM2G013357
AC233950.1_FG002	GRMZM2G013391
AC233950.1_FG002	GRMZM2G013463
AC233950.1_FG002	GRMZM2G013555
AC233950.1_FG002	GRMZM2G013657
AC233950.1_FG002	GRMZM2G013671
AC233950.1_FG002	GRMZM2G013790
AC233950.1_FG002	GRMZM2G013842
AC233950.1_FG002	GRMZM2G013986
AC233950.1_FG002	GRMZM2G014022
AC233950.1_FG002	GRMZM2G014066
AC233950.1_FG002	GRMZM2G014116
AC233950.1_FG002	GRMZM2G014346
AC233950.1_FG002	GRMZM2G014382
AC233950.1_FG002	GRMZM2G014392
AC233950.1_FG002	GRMZM2G014400
AC233950.1_FG002	GRMZM2G014444
AC233950.1_FG002	GRMZM2G014454
AC233950.1_FG002	GRMZM2G014653
AC233950.1_FG002	GRMZM2G014720
AC233950.1_FG002	GRMZM2G014729
AC233950.1_FG002	GRMZM2G014750
AC233950.1_FG002	GRMZM2G014770
AC233950.1_FG002	GRMZM2G014793
AC233950.1_FG002	GRMZM2G014833
AC233950.1_FG002	GRMZM2G014854
AC233950.1_FG002	GRMZM2G014902
AC233950.1_FG002	GRMZM2G014914
AC233950.1_FG002	GRMZM2G015049
AC233950.1_FG002	GRMZM2G015324
AC233950.1_FG002	GRMZM2G015355
AC233950.1_FG002	GRMZM2G015603
AC233950.1_FG002	GRMZM2G015610
AC233950.1_FG002	GRMZM2G015844
AC233950.1_FG002	GRMZM2G016084
AC233950.1_FG002	GRMZM2G016290
AC233950.1_FG002	GRMZM2G016477
AC233950.1_FG002	GRMZM2G016590
AC233950.1_FG002	GRMZM2G016622
AC233950.1_FG002	GRMZM2G016649
AC233950.1_FG002	GRMZM2G016827
AC233950.1_FG002	GRMZM2G016948
AC233950.1_FG002	GRMZM2G016958
AC233950.1_FG002	GRMZM2G016997
AC233950.1_FG002	GRMZM2G017013
AC233950.1_FG002	GRMZM2G017045
AC233950.1_FG002	GRMZM2G017080
AC233950.1_FG002	GRMZM2G017110
AC233950.1_FG002	GRMZM2G017145
AC233950.1_FG002	GRMZM2G017170
AC233950.1_FG002	GRMZM2G017186
AC233950.1_FG002	GRMZM2G017187
AC233950.1_FG002	GRMZM2G017266
AC233950.1_FG002	GRMZM2G017269
AC233950.1_FG002	GRMZM2G017299
AC233950.1_FG002	GRMZM2G017550
AC233950.1_FG002	GRMZM2G017555
AC233950.1_FG002	GRMZM2G017593
AC233950.1_FG002	GRMZM2G017670
AC233950.1_FG002	GRMZM2G017804
AC233950.1_FG002	GRMZM2G017894
AC233950.1_FG002	GRMZM2G018006
AC233950.1_FG002	GRMZM2G018070
AC233950.1_FG002	GRMZM2G018241
AC233950.1_FG002	GRMZM2G018573
AC233950.1_FG002	GRMZM2G018798
AC233950.1_FG002	GRMZM2G018876
AC233950.1_FG002	GRMZM2G018943
AC233950.1_FG002	GRMZM2G019056
AC233950.1_FG002	GRMZM2G019085
AC233950.1_FG002	GRMZM2G019183
AC233950.1_FG002	GRMZM2G019207
AC233950.1_FG002	GRMZM2G019353
AC233950.1_FG002	GRMZM2G019356
AC233950.1_FG002	GRMZM2G019358
AC233950.1_FG002	GRMZM2G019404
AC233950.1_FG002	GRMZM2G019806
AC233950.1_FG002	GRMZM2G019819
AC233950.1_FG002	GRMZM2G020016
AC233950.1_FG002	GRMZM2G020043
AC233950.1_FG002	GRMZM2G020054
AC233950.1_FG002	GRMZM2G020096
AC233950.1_FG002	GRMZM2G020150
AC233950.1_FG002	GRMZM2G020196
AC233950.1_FG002	GRMZM2G020216
AC233950.1_FG002	GRMZM2G020544
AC233950.1_FG002	GRMZM2G020738
AC233950.1_FG002	GRMZM2G020791
AC233950.1_FG002	GRMZM2G020799
AC233950.1_FG002	GRMZM2G020801
AC233950.1_FG002	GRMZM2G020840
AC233950.1_FG002	GRMZM2G020843
AC233950.1_FG002	GRMZM2G020976
AC233950.1_FG002	GRMZM2G021114
AC233950.1_FG002	GRMZM2G021194
AC233950.1_FG002	GRMZM2G021243
AC233950.1_FG002	GRMZM2G021369
AC233950.1_FG002	GRMZM2G021406
AC233950.1_FG002	GRMZM2G021410
AC233950.1_FG002	GRMZM2G021422
AC233950.1_FG002	GRMZM2G021498
AC233950.1_FG002	GRMZM2G021614
AC233950.1_FG002	GRMZM2G021619
AC233950.1_FG002	GRMZM2G021777
AC233950.1_FG002	GRMZM2G021786
AC233950.1_FG002	GRMZM2G021794
AC233950.1_FG002	GRMZM2G021822
AC233950.1_FG002	GRMZM2G021885
AC233950.1_FG002	GRMZM2G022213
AC233950.1_FG002	GRMZM2G022313
AC233950.1_FG002	GRMZM2G022318
AC233950.1_FG002	GRMZM2G022413
AC233950.1_FG002	GRMZM2G022619
AC233950.1_FG002	GRMZM2G022627
AC233950.1_FG002	GRMZM2G022679
AC233950.1_FG002	GRMZM2G022686
AC233950.1_FG002	GRMZM2G022777
AC233950.1_FG002	GRMZM2G022799
AC233950.1_FG002	GRMZM2G022897
AC233950.1_FG002	GRMZM2G023105
AC233950.1_FG002	GRMZM2G023133
AC233950.1_FG002	GRMZM2G023190
AC233950.1_FG002	GRMZM2G023207
AC233950.1_FG002	GRMZM2G023237
AC233950.1_FG002	GRMZM2G023285
AC233950.1_FG002	GRMZM2G023436
AC233950.1_FG002	GRMZM2G023694
AC233950.1_FG002	GRMZM2G023786
AC233950.1_FG002	GRMZM2G023921
AC233950.1_FG002	GRMZM2G023992
AC233950.1_FG002	GRMZM2G024119
AC233950.1_FG002	GRMZM2G024180
AC233950.1_FG002	GRMZM2G024345
AC233950.1_FG002	GRMZM2G024517
AC233950.1_FG002	GRMZM2G024530
AC233950.1_FG002	GRMZM2G024533
AC233950.1_FG002	GRMZM2G024571
AC233950.1_FG002	GRMZM2G024612
AC233950.1_FG002	GRMZM2G024641
AC233950.1_FG002	GRMZM2G024733
AC233950.1_FG002	GRMZM2G024806
AC233950.1_FG002	GRMZM2G024973
AC233950.1_FG002	GRMZM2G024993
AC233950.1_FG002	GRMZM2G025026
AC233950.1_FG002	GRMZM2G025164
AC233950.1_FG002	GRMZM2G025248
AC233950.1_FG002	GRMZM2G025340
AC233950.1_FG002	GRMZM2G025404
AC233950.1_FG002	GRMZM2G025414
AC233950.1_FG002	GRMZM2G025429
AC233950.1_FG002	GRMZM2G025451
AC233950.1_FG002	GRMZM2G025459
AC233950.1_FG002	GRMZM2G025552
AC233950.1_FG002	GRMZM2G025642
AC233950.1_FG002	GRMZM2G025783
AC233950.1_FG002	GRMZM2G025793
AC233950.1_FG002	GRMZM2G025833
AC233950.1_FG002	GRMZM2G025997
AC233950.1_FG002	GRMZM2G026015
AC233950.1_FG002	GRMZM2G026050
AC233950.1_FG002	GRMZM2G026147
AC233950.1_FG002	GRMZM2G026188
AC233950.1_FG002	GRMZM2G026216
AC233950.1_FG002	GRMZM2G026223
AC233950.1_FG002	GRMZM2G026231
AC233950.1_FG002	GRMZM2G026335
AC233950.1_FG002	GRMZM2G026391
AC233950.1_FG002	GRMZM2G026855
AC233950.1_FG002	GRMZM2G026881
AC233950.1_FG002	GRMZM2G026889
AC233950.1_FG002	GRMZM2G026910
AC233950.1_FG002	GRMZM2G026956
AC233950.1_FG002	GRMZM2G027462
AC233950.1_FG002	GRMZM2G027522
AC233950.1_FG002	GRMZM2G027563
AC233950.1_FG002	GRMZM2G027627
AC233950.1_FG002	GRMZM2G027825
AC233950.1_FG002	GRMZM2G027914
AC233950.1_FG002	GRMZM2G027955
AC233950.1_FG002	GRMZM2G028108
AC233950.1_FG002	GRMZM2G028151
AC233950.1_FG002	GRMZM2G028188
AC233950.1_FG002	GRMZM2G028234
AC233950.1_FG002	GRMZM2G028252
AC233950.1_FG002	GRMZM2G028386
AC233950.1_FG002	GRMZM2G028397
AC233950.1_FG002	GRMZM2G028438
AC233950.1_FG002	GRMZM2G028516
AC233950.1_FG002	GRMZM2G028726
AC233950.1_FG002	GRMZM2G028779
AC233950.1_FG002	GRMZM2G028834
AC233950.1_FG002	GRMZM2G028969
AC233950.1_FG002	GRMZM2G029048
AC233950.1_FG002	GRMZM2G029478
AC233950.1_FG002	GRMZM2G029587
AC233950.1_FG002	GRMZM2G029692
AC233950.1_FG002	GRMZM2G029713
AC233950.1_FG002	GRMZM2G029798
AC233950.1_FG002	GRMZM2G029824
AC233950.1_FG002	GRMZM2G030038
AC233950.1_FG002	GRMZM2G030173
AC233950.1_FG002	GRMZM2G030223
AC233950.1_FG002	GRMZM2G030228
AC233950.1_FG002	GRMZM2G030272
AC233950.1_FG002	GRMZM2G030299
AC233950.1_FG002	GRMZM2G030305
AC233950.1_FG002	GRMZM2G030350
AC233950.1_FG002	GRMZM2G030465
AC233950.1_FG002	GRMZM2G030504
AC233950.1_FG002	GRMZM2G030567
AC233950.1_FG002	GRMZM2G030571
AC233950.1_FG002	GRMZM2G030673
AC233950.1_FG002	GRMZM2G030688
AC233950.1_FG002	GRMZM2G030710
AC233950.1_FG002	GRMZM2G030717
AC233950.1_FG002	GRMZM2G030762
AC233950.1_FG002	GRMZM2G030790
AC233950.1_FG002	GRMZM2G030805
AC233950.1_FG002	GRMZM2G030882
AC233950.1_FG002	GRMZM2G030945
AC233950.1_FG002	GRMZM2G030955
AC233950.1_FG002	GRMZM2G031053
AC233950.1_FG002	GRMZM2G031143
AC233950.1_FG002	GRMZM2G031280
AC233950.1_FG002	GRMZM2G031323
AC233950.1_FG002	GRMZM2G031394
AC233950.1_FG002	GRMZM2G031432
AC233950.1_FG002	GRMZM2G031447
AC233950.1_FG002	GRMZM2G031545
AC233950.1_FG002	GRMZM2G031572
AC233950.1_FG002	GRMZM2G031580
AC233950.1_FG002	GRMZM2G031613
AC233950.1_FG002	GRMZM2G031724
AC233950.1_FG002	GRMZM2G031837
AC233950.1_FG002	GRMZM2G031893
AC233950.1_FG002	GRMZM2G031925
AC233950.1_FG002	GRMZM2G031930
AC233950.1_FG002	GRMZM2G031952
AC233950.1_FG002	GRMZM2G031993
AC233950.1_FG002	GRMZM2G032003
AC233950.1_FG002	GRMZM2G032022
AC233950.1_FG002	GRMZM2G032042
AC233950.1_FG002	GRMZM2G032104
AC233950.1_FG002	GRMZM2G032154
AC233950.1_FG002	GRMZM2G032171
AC233950.1_FG002	GRMZM2G032193
AC233950.1_FG002	GRMZM2G032209
AC233950.1_FG002	GRMZM2G032218
AC233950.1_FG002	GRMZM2G032219
AC233950.1_FG002	GRMZM2G032339
AC233950.1_FG002	GRMZM2G032348
AC233950.1_FG002	GRMZM2G032351
AC233950.1_FG002	GRMZM2G032409
AC233950.1_FG002	GRMZM2G032478
AC233950.1_FG002	GRMZM2G032628
AC233950.1_FG002	GRMZM2G032847
AC233950.1_FG002	GRMZM2G032887
AC233950.1_FG002	GRMZM2G033198
AC233950.1_FG002	GRMZM2G033267
AC233950.1_FG002	GRMZM2G033359
AC233950.1_FG002	GRMZM2G033406
AC233950.1_FG002	GRMZM2G033413
AC233950.1_FG002	GRMZM2G033480
AC233950.1_FG002	GRMZM2G033489
AC233950.1_FG002	GRMZM2G033515
AC233950.1_FG002	GRMZM2G033570
AC233950.1_FG002	GRMZM2G033576
AC233950.1_FG002	GRMZM2G033612
AC233950.1_FG002	GRMZM2G033619
AC233950.1_FG002	GRMZM2G033634
AC233950.1_FG002	GRMZM2G034182
