TF	target	y
GRMZM2G032905	GRMZM2G089021	0.728265410834406
GRMZM2G359589	GRMZM2G056732	0.728265410834406
GRMZM2G480434	GRMZM2G041561	0.728265410834406
GRMZM2G415229	GRMZM2G107437	0.728265410834406
GRMZM5G805505	GRMZM2G106622	0.717973853559222
AC190609.3_FG001	GRMZM2G054936	0.715338004102902
GRMZM2G005207	GRMZM2G080767	0.715338004102902
GRMZM2G011932	GRMZM2G106622	0.713117754297858
GRMZM2G457562	GRMZM2G066169	0.713117754297858
GRMZM2G165488	GRMZM2G064594	0.713117754297858
AC232238.2_FG004	GRMZM2G058039	0.713018725815349
GRMZM2G480434	GRMZM2G158252	0.713018725815349
GRMZM2G165488	GRMZM2G056732	0.713018725815349
GRMZM2G010871	GRMZM2G080767	0.695229363866148
GRMZM2G027697	GRMZM2G056732	0.687389179412169
GRMZM2G137413	GRMZM2G080767	0.685828129595018
GRMZM2G072582	GRMZM2G023983	0.685828129595018
GRMZM2G137413	GRMZM2G066169	0.683875803891709
AC232238.2_FG004	GRMZM2G149617	0.681208330984471
GRMZM2G177110	GRMZM2G080767	0.681208330984471
GRMZM2G169149	GRMZM2G054936	0.681208330984471
GRMZM2G081892	GRMZM2G106622	0.681208330984471
GRMZM2G145041	GRMZM2G078198	0.677223953422385
GRMZM2G166687	GRMZM2G023983	0.673073569227152
AC210616.4_FG005	GRMZM2G158252	0.663017266885996
GRMZM2G386273	GRMZM2G158252	0.663017266885996
GRMZM2G104074	GRMZM2G047968	0.663017266885996
GRMZM2G005066	GRMZM2G078198	0.663017266885996
GRMZM2G338259	GRMZM2G107437	0.663017266885996
GRMZM2G087040	GRMZM2G041561	0.663017266885996
GRMZM2G370026	GRMZM2G150631	0.641344736338732
GRMZM2G024054	GRMZM2G375999	0.641083990246368
GRMZM2G145041	GRMZM2G042118	0.638376276421183
GRMZM2G025812	GRMZM2G106622	0.638376276421183
GRMZM2G057413	GRMZM2G056732	0.638376276421183
AC193786.3_FG005	GRMZM2G064594	0.637552558099671
GRMZM2G097275	GRMZM2G158252	0.637552558099671
GRMZM2G005284	GRMZM2G080767	0.637552558099671
GRMZM2G053713	GRMZM2G375999	0.637552558099671
GRMZM2G042920	GRMZM2G047968	0.637552558099671
GRMZM2G041746	GRMZM2G047968	0.637552558099671
GRMZM2G018398	GRMZM2G042118	0.637552558099671
GRMZM2G109627	GRMZM2G054936	0.637552558099671
GRMZM2G099797	GRMZM2G056732	0.637552558099671
GRMZM2G123387	GRMZM2G041561	0.637410797323114
GRMZM2G051528	GRMZM2G106622	0.637410797323114
GRMZM2G177110	GRMZM2G106622	0.637081212722087
GRMZM5G842019	GRMZM2G051534	0.637081212722087
GRMZM2G479110	GRMZM2G056732	0.637081212722087
GRMZM2G171464	GRMZM2G066169	0.637081212722087
GRMZM2G422205	GRMZM2G149617	0.634814679969276
GRMZM2G415229	GRMZM2G066169	0.634426166573902
GRMZM2G350312	GRMZM2G064594	0.634426166573902
GRMZM2G134951	GRMZM2G066169	0.634426166573902
GRMZM2G053713	GRMZM2G023983	0.634426166573902
GRMZM2G457562	GRMZM2G106622	0.634426166573902
GRMZM2G470974	GRMZM2G047968	0.634426166573902
GRMZM2G010871	GRMZM2G058039	0.632576260340751
GRMZM2G117851	GRMZM2G051534	0.632576260340751
GRMZM2G008166	GRMZM2G107437	0.632576260340751
GRMZM2G110582	GRMZM2G051534	0.632576260340751
GRMZM2G135447	GRMZM2G056732	0.632576260340751
GRMZM2G131266	GRMZM2G047968	0.632576260340751
GRMZM2G302323	GRMZM2G150631	0.632576260340751
GRMZM2G076636	GRMZM2G023983	0.631847335807393
GRMZM2G097275	GRMZM2G056732	0.631847335807393
GRMZM2G083239	GRMZM2G056732	0.63183611784917
GRMZM2G159134	GRMZM2G064594	0.63183611784917
GRMZM2G462417	GRMZM2G150631	0.63183611784917
GRMZM2G134717	GRMZM2G058039	0.63183611784917
GRMZM2G173771	GRMZM2G106622	0.63183611784917
GRMZM2G028054	GRMZM2G066169	0.63183611784917
GRMZM2G081782	GRMZM2G106622	0.63183611784917
GRMZM2G126566	GRMZM2G056732	0.63183611784917
GRMZM2G129428	GRMZM2G064732	0.63183611784917
GRMZM2G087032	GRMZM2G150631	0.630835247087265
GRMZM2G126170	GRMZM2G150631	0.630720396081607
GRMZM2G174784	GRMZM2G107437	0.627047038554275
GRMZM2G024655	GRMZM2G042118	0.627047038554275
GRMZM2G106673	GRMZM2G089021	0.627047038554275
GRMZM2G005624	GRMZM2G054936	0.627047038554275
GRMZM2G451035	GRMZM2G056732	0.627047038554275
GRMZM2G117497	GRMZM2G054936	0.624221922348528
GRMZM2G171179	GRMZM2G054936	0.623123741793599
AC206898.3_FG006	GRMZM2G080767	0.620559653261427
GRMZM2G175856	GRMZM2G041561	0.620559653261427
GRMZM2G112548	GRMZM2G056732	0.618550281163487
GRMZM2G049027	GRMZM2G047968	0.617277552033117
GRMZM2G126834	GRMZM2G149617	0.617277552033117
GRMZM2G076896	GRMZM2G106622	0.616647354009299
GRMZM2G106653	GRMZM2G066169	0.61517943993151
GRMZM2G302323	GRMZM2G058039	0.613605375094892
GRMZM2G160840	GRMZM2G106622	0.611107820917354
GRMZM2G313737	GRMZM2G064732	0.602191710105635
AC149475.2_FG005	GRMZM2G023983	0.601138692745184
GRMZM2G122846	GRMZM2G064732	0.599468749571481
GRMZM2G149590	GRMZM2G107437	0.599265903439888
GRMZM2G109753	GRMZM2G041561	0.597426585608579
GRMZM2G479110	GRMZM2G158252	0.594975580397375
GRMZM2G126170	GRMZM2G042118	0.593871768808739
GRMZM2G075562	GRMZM2G064594	0.593871768808739
GRMZM2G174834	GRMZM2G054936	0.593871768808739
GRMZM2G402027	GRMZM2G078198	0.593871768808739
GRMZM2G309731	GRMZM2G106622	0.593716956979096
GRMZM2G052902	GRMZM2G056732	0.593716956979096
AC233952.1_FG008	GRMZM2G054936	0.593714007495052
GRMZM2G049027	GRMZM2G064594	0.593714007495052
GRMZM2G053713	GRMZM2G106622	0.593714007495052
GRMZM2G028622	GRMZM2G054936	0.592154155473461
GRMZM2G093725	GRMZM2G047968	0.592154155473461
AC195864.3_FG017	GRMZM2G107437	0.580731816489586
GRMZM2G010871	GRMZM2G051534	0.580731816489586
GRMZM2G402027	GRMZM2G042118	0.580731816489586
GRMZM2G101511	GRMZM2G107437	0.580731816489586
GRMZM2G136266	GRMZM2G107437	0.580731816489586
GRMZM2G132550	GRMZM2G056732	0.580731816489586
GRMZM2G041415	GRMZM2G106622	0.580731816489586
GRMZM2G002225	GRMZM2G056732	0.580731816489586
GRMZM2G112548	GRMZM2G064594	0.580731816489586
GRMZM2G103647	GRMZM2G023983	0.580731816489586
GRMZM2G159475	GRMZM2G107437	0.580731816489586
GRMZM2G016079	GRMZM2G080767	0.578359220726283
GRMZM2G422205	GRMZM2G150631	0.578359220726283
GRMZM2G117851	GRMZM2G080767	0.576412830659808
GRMZM5G846506	GRMZM2G056732	0.574507629735127
GRMZM2G129261	GRMZM2G080767	0.574507629735127
GRMZM2G105348	GRMZM2G056732	0.574507629735127
